# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.16.1
#@/tick	27887
#@/user_id	nixos-ysun
bu dui 	不對	c=9 d=2.71277 t=27887
bu dui jin 	不對勁	c=5 d=3.53774 t=27887
bu duo 	不多	c=1 d=0.634448 t=27887
bu fang 	不妨	c=1 d=0.946485 t=27887
bu fang 	不放	c=1 d=0.843665 t=27887
bu fang bian 	不方便	c=2 d=0.765772 t=27887
bu fei jia 	不肥家	c=1 d=0.718924 t=27887
bu fen 	部分	c=8 d=3.27524 t=27887
bu fu 	不服	c=1 d=0.737123 t=27887
bu fu he 	不符合	c=4 d=1.78692 t=27887
bu gan 	不幹	c=1 d=0.186374 t=27887
bu gan jing 	不乾淨	c=1 d=0.99005 t=27887
bu gao 	不搞	c=3 d=1.85431 t=27887
bu gao 	不高	c=1 d=0.447088 t=27887
bu gei 	不給	c=1 d=0.818731 t=27887
bu gou 	不夠	c=9 d=3.09109 t=27887
bu gou di dao 	不夠地道	c=1 d=0.860708 t=27887
bu gou qing xi 	不夠清晰	c=1 d=0.878095 t=27887
bu gou yong 	不夠用	c=1 d=1 t=27887
bu guan 	不管	c=1 d=0.913931 t=27887
bu guo 	不過	c=1 d=0.438235 t=27887
bu guo lai 	不過來	c=1 d=0.458406 t=27887
bu guo qu 	不過去	c=1 d=0.737123 t=27887
bu hao 	不好	c=1 d=0.822346 t=27887
bu hao he 	不好和	c=1 d=0.927743 t=27887
bu hao shuo 	不好說	c=1 d=0.767206 t=27887
bu hao yi si 	不好意思	c=1 d=0.995012 t=27887
bu hao zuo 	不好做	c=1 d=0.831104 t=27887
bu he li 	不合理	c=1 d=0.615697 t=27887
bu he ni 	不和你	c=1 d=0.603506 t=27887
bu he shi 	不合適	c=1 d=0.460704 t=27887
bu he tang 	不喝湯	c=1 d=0.67032 t=27887
bu hei 	不黑	c=0 d=0.0082085 t=27887
bu hui 	不會	c=20 d=4.20251 t=27887
bu hui lai 	不回來	c=0 d=0.0588605 t=27887
bu hui lai 	補回來	c=0 d=0.0585669 t=27887
bu hui you 	不會有	c=1 d=0.644036 t=27887
bu huo 	捕獲	c=2 d=1.19577 t=27887
bu ji 	不及	c=1 d=0.375436 t=27887
bu ji 	不急	c=2 d=1.36232 t=27887
bu ji de 	不記得	c=2 d=1.68145 t=27887
bu ji yu 	不急於	c=1 d=0.97531 t=27887
bu ji yu qi 	不及預期	c=1 d=0.882497 t=27887
bu ji zhe 	不急着	c=1 d=0.755784 t=27887
bu jia 	不加	c=0 d=0.0484325 t=27887
bu jia dai li 	不加代理	c=1 d=0.486752 t=27887
bu jian 	不見	c=1 d=0.995012 t=27887
bu jian rong 	不兼容	c=1 d=0.625002 t=27887
bu jian zhuang 	不健壯	c=2 d=1.09851 t=27887
bu jiao 	補覺	c=1 d=0.918512 t=27887
bu jie yi 	不介意	c=5 d=1.97392 t=27887
bu jin 	不僅	c=1 d=0.612626 t=27887
bu jin jin 	不僅僅	c=2 d=1.35303 t=27887
bu jin qu 	補進去	c=1 d=0.965605 t=27887
bu jiu 	不久	c=1 d=0.918512 t=27887
